booking_id,hotel_id,hotel_city,customer_id,customer_name,customer_email,check_in_date,check_out_date,room_type,num_guests,total_amount,currency,booking_status
bc3c2ecb-89b3-4f87-9714-355c5088b35d,1860,Michelleport,1d541501-4a4a-479e-9d6c-91f80cf8452e,Tracy Ortega,invalid-email,1/11/2026,1/19/2026,Deluxe,4,252.49,USD,Confirmed
6834f794-1cee-41fe-ba24-d54368d6865e,1058,North Tina,11e3742c-0326-473e-964c-db5ab6de07f2,Karen Coleman,invalid-email,10/16/2025,10/20/2025,Suite,2,150.48,INR,Confirmed
e8f146a0-faf2-4c69-9a2b-ce6593d10950,1638,New Frederickville,7abf382a-89b8-4ed5-b5db-fe8c9b66f979,Anthony Alvarez,invalid-email,2/6/2026,2/12/2026,Standard,5,197.22,USD,No-Show
83bd8eab-d136-4153-bb30-4d0367b1e106,1980,Port Wesley,917c92b9-9ef1-46fc-9098-db84612c8856,Russell Williams,invalid-email,11/11/2025,11/17/2025,Deluxe,2,464.3,EUR,No-Show
c9a791c0-1f34-4c18-b1e6-f1c85ab916c4,1739,North Stevehaven,17485b29-a80e-41a4-8d3a-e783350006f7,Natalie Green,robert19@example.org,2/19/2025,2/27/2025,Standard,2,507.24,EUR,Confirmed
fadd2f9a-ee13-4e4a-98bf-a685669a40d0,1923,Cliffordbury,451192ab-3d5c-480a-b702-ded5aafcbdaa,Jean Chan,tonyaellison@example.com,5/28/2025,6/2/2025,Standard,2,503.82,INR,Confirmeeed
0e62ae16-3c2c-4eb9-ba55-89e6f8e4f3dc,1136,Martintown,707d69f1-a8d5-4665-a092-68fa6b5c64c8,Aaron Young,michael60@example.net,3/11/2025,3/19/2025,Deluxe,1,176.15,USD,Confirmed
3ac87823-3996-49b9-bde7-b9c30ab9cc44,1299,Johnsonland,0567969e-3d96-40f9-9f28-54a917f9c7c6,Yvette Butler,invalid-email,5/23/2026,5/26/2026,Suite,4,470.29,INR,Confirmed
c04fd7c4-6cba-4402-8c3f-fa9e82c54b3d,1348,West Jenniferborough,aad9ddf8-6514-41ed-bcae-d4de96982a40,David Hall,salastina@example.com,1/30/2026,2/7/2026,Deluxe,2,-506.82,USD,Cancelled
89c4d14c-a632-4d64-95ca-8a1f44f7ed96,1564,South Grant,983b9421-baa4-4ad1-8a63-11b5d03b6a10,Sarah Johnson,swoods@example.com,5/21/2026,5/25/2026,Suite,3,355.99,INR,Confirmed
b988fdfe-30d3-4d54-a1f4-a847e7ff2191,1498,East Rogerland,cafc099a-cef4-4b6f-a211-cdf7881a4d6f,Robert Lewis,christinearnold@example.com,10/5/2025,10/13/2025,Standard,5,-443.72,EUR,No-Show
df213ba4-102f-46fc-bbbc-f0ac092f2609,1621,Port Matthew,0e860d04-f175-4cef-9597-c6116564f033,Earl Wilkins,invalid-email,1/29/2025,2/2/2025,Standard,2,275.41,USD,Cancelled
7c486597-8ebf-46b9-9d06-4e9c34463fca,1878,North Rebecca,ab82b757-acd0-4386-942f-9f7a117e9c9f,Cheryl Flores,mooreemma@example.net,3/30/2025,4/9/2025,Standard,3,430.37,USD,Confirmed
bbcc7cb2-4a7b-41a5-a2eb-11924d16aeeb,1605,Kathrynport,898eaae8-d732-4753-bb4d-87947962ac28,Brandy Mitchell,invalid-email,5/13/2026,5/17/2026,Deluxe,1,503.12,EUR,Cancelled
f5afb150-4561-4f25-8d03-f405068bec85,1998,South Todd,3ad44f66-b8a7-45d5-8796-ea229ee507d9,James Davis,brandi57@example.org,9/8/2025,9/10/2025,Suite,4,470.59,EUR,No-Show
6fce7e83-edd9-406c-a0ec-e1bc965156c5,1674,East Tommy,1f2f8f06-87aa-482b-9728-b5be9fdd8e92,Jacqueline Howard,invalid-email,6/21/2025,7/1/2025,Suite,3,276.89,INR,Cancelled
a1e26857-2c5b-4a9c-8442-850e6542d45e,1276,East Michaelport,e078ceff-d59d-4f1d-82f7-ecf1d5aa0f85,Ronald Stewart,robert35@example.org,9/19/2025,9/24/2025,Suite,3,-158.21,INR,No-Show
c3a62e44-203a-4887-a6d7-953eb70412a2,1662,Martinside,a5974109-8ca9-4cdb-b7ba-6aac0441c5f4,Morgan Blackwell,invalid-email,2/23/2026,3/2/2026,Standard,2,439.63,USD,No-Show
e3832af0-187d-4f90-bc28-0e4125fb91fd,1672,Delacruztown,e5ea35b9-fe29-4b9f-9f08-67c95bfa9868,Rodney Odom,lisa57@example.net,31-02-2024,12/12/2024,Deluxe,4,570.23,USD,Cancelled
85db9bbd-b01f-4582-b843-cbcb344636e2,1882,Ariasmouth,98332bab-a110-4785-b7cd-c9d231b51eb2,Austin Smith,asolis@example.org,3/22/2025,3/25/2025,Deluxe,1,80.43,EUR,Cancelled
5dc2e549-2aca-45d6-ba93-764d34adfe96,1435,Cameronborough,ba796743-857c-4caa-9987-d378237272d5,Susan Collins,edwardnash@example.org,4/17/2025,4/27/2025,Standard,1,205.77,INR,Cancelled
4ac3ee31-ceb9-48e6-bb18-496b75c98849,1016,Lake Marcus,aeecba62-cb6f-4874-9bb2-c6d19f9462a8,Lori Nelson,benjamin58@example.com,31-02-2024,6/5/2025,Suite,5,430.31,EUR,Cancelled
a72cceef-dd09-49ac-bd02-abb1f695f5ec,1389,Vanessaborough,abdaf075-d283-464e-9276-ebbfc56abe20,John Jarvis,ihudson@example.net,5/20/2026,5/21/2026,Deluxe,1,216.28,USD,No-Show
02c7687d-c9b2-4702-8d5d-d9efbfc9b5b6,1650,Lake Jameston,ea58951d-54e2-4ec6-81a8-8ca14b157942,James Williamson,louis00@example.org,6/20/2025,11/20/2025,Suite,5,57.27,USD,No-Show
